天官冢宰第一	本或作冢宰上非餘卷放此
芡	音儉
㮚	古栗字
重言	直用反
蔆芰	其寄反
餌	而志反
餈	財資反
餌餅	必領反
爲餌	于僞反下文同
黏	女亷反
著	直畧反
醢人韭	音久
菹	莊魚反
醓	吐感反本又作或一音昌審反
麋臡	乃兮反又人齊反
菁	作寧反又音精
茆	音卯北人音栁
麇	京倫反
膊乾	普博反
莝	倉臥反
骭	戸諫反徐户幹反
蔓	音万又莫干反徐音蠻
蠃	力禾反
脾	婢支反徐蒲佳反
析	星歷反
蠯	蒲佳反徐蒲雞反
蜃	市軫反
豚拍	音博
螔	音移又音夷
蝓	音榆又音由
大蛤	音閤
蛾子	魚綺反
爲膊	音博下鎛同
芹	音勤徐又音謹說文作菦云菜類蒿也音謹
箈	音迨鄭云箭萌也爾雅作䈚同鄭司農云水中魚衣也當徒來反沈云北人音秃改反又丈之反未知所出
筍	息尹反
蒲蒻	音若
酏食	音嗣下同
糝	素感反
餗	音速
􁉸	之然反
糔	思栁反劉相早反徐相幼反
溲	所栁反
臅	昌蜀反一音粟
為王	于僞反
五齊	徐劉于西反下同沈才細反
若䐑	直輒反
少儀	詩照反
為軒	音獻
皆䐑	之涉反本或作躡下同
為辟	必亦反又音檗
為宛	於阮反又於月反
之醯	呼兮反
之稱	尺證反
醯人五齊	子兮反下之齊共齊醬齊皆同
鹽人苦鹽	音盬工戶反出注
散鹽	悉但反下同
不湅	音練下同
齊事	才細反
䰞	音煑
盬	音古
幂人	莫歴反
氣與	音餘
皆黼	音甫
宮人之脩	劉音修本亦作修
朝	直遥反下同
辨色	如字本又作別彼列反
井匽	於建反徐音偃
不蠲	音圭又古𤣥反絜也
去其	起呂反
為饎	尺志反
謂霤	力救反
受畜	勑六反
絜清	戚才性反本亦作清
掌舍梐	歩禮反
枑	戶故反
再重	直龍反下同
為柜	音矩下同徐胡故反
榱	音衰戚疏闗反
居	舉慮反
溜	力救反
水涑	徐劉色遘反戚色胄反
橐	當洛反
為藩	方元反
壝	戚唯季反劉欲鬼反徐羊誰反一音待果反又時累反
埒	徐音劣
遊觀	工喚反一音官
幕人幄	烏學反
帟	音亦
綬	音受
掌次張事	劉音帳戚如字下邦之張事同
皇邸	徐當禮反一本作皇羽邸
後版	徐音板
屏風	薄刑反
朝日	直遥反注朝日同
重帟	直龍反注下同
爲之	于僞反
大府受藏	才浪反注受藏言受藏同
稍秣	音末
好用	呼報反下同
使者	色吏反
厈幣	音尺徐蚩祐反
玉府玩好	呼報反及内府皆同
之藏	才浪反注同
蠙珠	劉薄田反徐音頻一音父賔反
含玉	戸暗反
枕尸	之鴆反
楔	先結反
令可	力呈反
飯唅	扶晚反
衽	而甚反又而鴆反
牀笫	側美反徐側敏反
袍襗	劉音澤徐待各反
簀也	音責
玉敦	音對徐丁雷反注同
盛血	音成下同
歃之	色洽反徐霜獵反
文織	音志一音如字劉音至
爲王	于僞反
獻遺	唯季反下同
内府使者	所吏反
小治	直吏反
外府不徧	古遍字下同
復出	扶又反徐音服
後數	音朔
有竒	紀冝反
足技	如字一音竒
幣齎	音咨注同又祖係反
問幾	徐舉豈反
司會	古外反下同
之治	直吏反注同
攷	音考
司書九正	音征注同
猶比	毗志反
餘見	賢遍反下同
之簿	歩故反下同
朽蠧	都路反
器械	户戒反
六畜	許又反
稅斂	力驗反
職内種	章勇反
寫下	戸嫁反
藏中	才浪反
職歳而編	必綿反又必連反一音方千反
職幣抍也	音拯
楬之	其列反
以著	直畧反徐張恕反
司裘中秋	音仲注同
㲝	音毛
毨	先典反
裘與	音餘
鶉	音淳
麛	音迷
其鵠	古毒反
爲祭	于僞反
可以與	音預下得與同
德行	下孟反
比於	毗志反下同
而中	丁仲反下天子中之以下中之而難中以中皆同
所射	食亦反下自射所射共射皆同
爲􁅲	諸允反本亦作準
著於	直畧反又張畧反
參七	素感反
干五	五旦反劉音鴈本又作犴
遠尊	于万反
射正	音征下同
鳱	音干劉音鴈一音岸
廞	許金反徐又火飲反
遣車	弃戰反
興也	虚譍反下同
掌皮毳	尺銳反
細縟	音辱
餘見	賢遍反
内宰省文	所景反
其竒	紀冝反
衺	似嗟反本亦作邪
紝	女金反
組	音祖
紃	似倫反
縫線	仙戰反字亦作綫
后祼	古亂反
瑶爵	音遥
不與	音預
酳	七靳反劉侯吝反又音胤
玉齍	音咨劉諸允反注皆同徐音純
市朝	直遥反下同
