月令第六	此是吕氏春秋十二紀之首後人刪合爲此記蔡伯喈王肅云周公所作
不見	賢遍反下注録見同
鐵驪	力知反
與彘	直吏反
爲袗	之忍反又之刄反
先立冬	悉薦反
叶光	本又作汁音協
禺人	音遇
椓聚	丁角反又作涿同
釁龜	許靳反
筴	初格反
蓍	音尸
繇文	直又反
相爲	于僞反下爲仲冬爲天子皆同
上騰	時掌反又如字下上泄同
蓋藏	才浪反又如字
循行	下孟反
積聚	子賜反下才柱反又並如字仲冬同
鍵閉	其輦反又其偃反
管籥	羊灼反
封疆	居良反注及下注同
要塞	先代反注同
塞徯	上先則反下音奚
徑	古定反
鍵牡	亡古反又茂后反
搏鍵	音博一本作傳直專反
害處	尺慮反
爲璽	音徙
塋	音營
丘壟	力勇反
襲	音習
斂	力驗反又力檢反
效功	戸敎反
淫巧	如字又苦孝反注同
功致	直吏反下注同
之長	丁丈反
不當	丁浪反注同
別之	彼列反
國索	所百反
屬民	之玉反下同
滌	大歷反
場	直良反
躋彼	子兮反
兕	徐履反
觵	古宏反
臘先祖	力合反
謂蜡	仕迓反字林作䄍
勞農	力報反
將帥	上子匠反下色類反
大閱	音悅
唯狩	手又反
上泄	息列反下同
復出	扶又反
參伐	所林反下同
仲冬東辟	必亦反又必狄反
益壯	莊亮反
曷旦	本亦作鶡同苦割反曷旦鳥名
暢月	勑亮反充也
猶女	音汝
大隂	音泰
必重	直龍反注同
省婦	所景反注同
大酋	子由反又在由反大酋酒官之長
秫稻	音述
麴	丘六反
糵	魚列反
湛	子廉反漬也
熾	尺志反炊也
火齊	才計反注火齊同
監	古銜反
差貸	音二又他得反注同
之長	丁丈反
穫稻	戸郭反
畜獸	許六反
不詰	起吉反
藪澤	素口反
敎道	音導
陽爭	爭鬪之爭注同
去聲	起吕反注及下同
禁耆	市志反
從八	子用反
芸	音云香草
茘	力計反馬䪥
挺出	大頂反
馬䪥	戸介反
麋	亡悲反
角解	音蟹
上行	時丈反
氛霧	芳云反
雨汁	于付反下音執注同謂雨雪雜下也
瓜瓠	戸故反
好雨	呼報反
多疥	音介
季冬婺女	無付反
昬婁	力侯反
旦氏	丁兮反一音丁計反
玄枵	許驕反
北郷	音向
雉雊	古豆反雉鳴
雞始乳	如住反
大難	乃多反下注同
磔出	竹百反
爲厲	于僞反
題肩	大兮反
神祇	音祁
腹堅	本又作複又方服反厚也
五種	章勇反注同
鎡	音兹
錤	音其
合	古荅反
吹	昌睡反
而罷	如字又音皮
乃復	扶又反
君子說	音恱
小人樂	音洛
以共	音恭下文以共皆同
薪燎	力召反
可析	思歷反下同
炊爨	七亂反
幾終	音祈又音機
故處	昌慮反
猶女	音汝
令之	力呈反
而縣	音玄
辟寒	毗異反
胎	吐來反
夭	烏老反注同
少長	上詩召反下丁丈反
乃句	古侯反
消釋	如字一本作液音亦
